Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"E.D. Zamani","With a little help from the miners: distributed ledger technology and market disintermediation",2018,"Industrial Management and Data Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044579220&origin=inward",1,"2022-12-19 17:27:44","Article","10.1108/IMDS-05-2017-0231","0263-5577","https://api.elsevier.com/content/abstract/scopus_id/85044579220",118,3,637,652,49,12.25,49,1,4,"","",""
10,"E. Haas","Using self-determination theory to identify organizational interventions to support coal mineworkers’ dust-reducing practices",2019,"International Journal of Mining Science and Technology","","https://api.elsevier.com/content/article/eid/1-s2.0-S2095268618303318","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062338763&origin=inward",2,"2022-12-19 17:27:44","Article","10.1016/j.ijmst.2019.02.001","2095-2686","https://api.elsevier.com/content/abstract/scopus_id/85062338763",29,3,371,378,10,3.33,10,1,3,"","",""
8,"A. Alimoglu","Design of a smart contract based autonomous organization for sustainable software",2017,"Proceedings - 13th IEEE International Conference on eScience, eScience 2017","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043760581&origin=inward",3,"2022-12-19 17:27:44","Conference Paper","10.1109/eScience.2017.76","","https://api.elsevier.com/content/abstract/scopus_id/85043760581",,,471,476,8,1.60,8,1,5,"","",""
4,"R. Fleuri","Learning from Brazilian Indigenous Peoples: Towards a Decolonial Education",2018,"Australian Journal of Indigenous Education","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038018709&origin=inward",4,"2022-12-19 17:27:44","Article","10.1017/jie.2017.28","1326-0111","https://api.elsevier.com/content/abstract/scopus_id/85038018709",47,1,8,18,4,1.00,4,1,4,"","",""
2,"M.A. Mohamed Hashim","A sustainable University: Digital Transformation and Beyond",2022,"Education and Information Technologies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126745257&origin=inward",5,"2022-12-19 17:27:44","Article","10.1007/s10639-022-10968-y","1360-2357","https://api.elsevier.com/content/abstract/scopus_id/85126745257",27,7,8961,8996,2,2.00,2,1,1,"","",""
1,"Y. Liu","Application of Blockchain Technology in Agricultural Water Rights Trade Management",2022,"Sustainability (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132181069&origin=inward",6,"2022-12-19 17:27:44","Article","10.3390/su14127017","2071-1050","https://api.elsevier.com/content/abstract/scopus_id/85132181069",14,12,,,1,1.00,1,1,1,"","",""
1,"F.L. Benítez-Martínez","Neural blockchain technology for a new anticorruption token: towards a novel governance model",2022,"Journal of Information Technology and Politics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122864050&origin=inward",7,"2022-12-19 17:27:44","Article","10.1080/19331681.2022.2027317","1933-1681","https://api.elsevier.com/content/abstract/scopus_id/85122864050",,,,,1,1.00,1,1,1,"","",""
1,"E. Shevtshenko","Collaborative project management framework for partner network initiation in machining domain",2019,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054410996&origin=inward",8,"2022-12-19 17:27:44","Conference Paper","10.1007/978-3-030-00612-9_19","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/85054410996",864,,215,233,1,0.33,1,1,3,"","",""
